,xdot0,xdot1,xdot2,xdot3
44,5.196956999951522,5.196956999951522,5.196956999951522,5.196956999951522
45,5.2763445417330965,5.2763445417330965,5.2763445417330965,5.2763445417330965
46,5.354419919165933,5.354419919165933,5.354419919165933,5.354419919165933
47,5.431204820480192,5.431204820480192,5.431204820480192,5.431204820480192
48,5.506720575430113,5.506720575430113,5.506720575430113,5.506720575430113
49,5.58098816121911,5.58098816121911,5.58098816121911,5.58098816121911
50,5.654028208326945,5.654028208326945,5.654028208326945,5.654028208326945
51,5.725861006240584,5.725861006240584,5.725861006240584,5.725861006240584
52,5.796506509090324,5.796506509090324,5.796506509090324,5.796506509090324
53,5.8659843411927675,5.8659843411927675,5.8659843411927675,5.8659843411927675
54,5.934313802502181,5.934313802502181,5.934313802502181,5.934313802502181
55,6.001513873971745,6.001513873971745,6.001513873971745,6.001513873971745
56,6.067603222826197,6.067603222826197,6.067603222826197,6.067603222826197
57,6.132600207747315,6.132600207747315,6.132600207747315,6.132600207747315
58,6.196522883973707,6.196522883973707,6.196522883973707,6.196522883973707
59,6.259389008316291,6.259389008316291,6.259389008316291,6.259389008316291
60,6.321216044090891,6.321216044090891,6.321216044090891,6.321216044090891
61,6.382021165969292,6.382021165969292,6.382021165969292,6.382021165969292
62,6.441821264750126,6.441821264750126,6.441821264750126,6.441821264750126
63,6.500632952050893,6.500632952050893,6.500632952050893,6.500632952050893
64,6.558472564922432,6.558472564922432,6.558472564922432,6.558472564922432
65,6.61535617038712,6.61535617038712,6.61535617038712,6.61535617038712
66,6.671299569902065,6.671299569902065,6.671299569902065,6.671299569902065
67,6.726318303748528,6.726318303748528,6.726318303748528,6.726318303748528
68,6.7804276553487846,6.7804276553487846,6.7804276553487846,6.7804276553487846
69,6.833642655511651,6.833642655511651,6.833642655511651,6.833642655511651
70,6.885978086607826,6.885978086607826,6.885978086607826,6.885978086607826
71,6.937448486676221,6.937448486676221,6.937448486676221,6.937448486676221
72,6.988068153462423,6.988068153462423,6.988068153462423,6.988068153462423
73,7.0378511483904065,7.0378511483904065,7.0378511483904065,7.0378511483904065
74,7.086811300468593,7.086811300468593,7.086811300468593,7.086811300468593
75,7.134962210131357,7.134962210131357,7.134962210131357,7.134962210131357
76,7.18231725301703,7.18231725301703,7.18231725301703,7.18231725301703
77,7.2288895836834675,7.2288895836834675,7.2288895836834675,7.2288895836834675
78,7.274692139262193,7.274692139262193,7.274692139262193,7.274692139262193
79,7.319737643052152,7.319737643052152,7.319737643052152,7.319737643052152
80,7.364038608054064,7.364038608054064,7.364038608054064,7.364038608054064
81,7.407607340446353,7.407607340446353,7.407607340446353,7.407607340446353
82,7.450455943003634,7.450455943003634,7.450455943003634,7.450455943003634
83,7.492596318458688,7.492596318458688,7.492596318458688,7.492596318458688
84,7.534040172808872,7.534040172808872,7.534040172808872,7.534040172808872
85,7.574799018567882,7.574799018567882,7.574799018567882,7.574799018567882
86,7.614884177963761,7.614884177963761,7.614884177963761,7.614884177963761
87,7.6543067860840575,7.6543067860840575,7.6543067860840575,7.6543067860840575
88,7.693077793968992,7.693077793968992,7.693077793968992,7.693077793968992
89,7.731207971653499,7.731207971653499,7.731207971653499,7.731207971653499
90,7.7687079111589945,7.7687079111589945,7.7687079111589945,7.7687079111589945
91,7.805588029435683,7.805588029435683,7.805588029435683,7.805588029435683
92,7.841858571256244,7.841858571256244,7.841858571256244,7.841858571256244
93,7.8775296120616805,7.8775296120616805,7.8775296120616805,7.8775296120616805
94,7.912611060760132,7.912611060760132,7.912611060760132,7.912611060760132
95,7.947112662479434,7.947112662479434,7.947112662479434,7.947112662479434
96,7.98104400127417,7.98104400127417,7.98104400127417,7.98104400127417
97,8.01441450278799,8.01441450278799,8.01441450278799,8.01441450278799
98,8.047233436871917,8.047233436871917,8.047233436871917,8.047233436871917
99,8.079509920159383,8.079509920159383,8.079509920159383,8.079509920159383
100,8.111252918598698,8.111252918598698,8.111252918598698,8.111252918598698
101,8.142471249943663,8.142471249943663,8.142471249943663,8.142471249943663
102,8.173173586203017,8.173173586203017,8.173173586203017,8.173173586203017
103,8.2033684560494,8.2033684560494,8.2033684560494,8.2033684560494
104,8.233064247188494,8.233064247188494,8.233064247188494,8.233064247188494
105,8.262269208689009,8.262269208689009,8.262269208689009,8.262269208689009
106,8.290991453274158,8.290991453274158,8.290991453274158,8.290991453274158
107,8.319238959575257,8.319238959575257,8.319238959575257,8.319238959575257
108,8.347019574348073,8.347019574348073,8.347019574348073,8.347019574348073
109,8.374341014652542,8.374341014652542,8.374341014652542,8.374341014652542
110,8.401210869996458,8.401210869996458,8.401210869996458,8.401210869996458
111,8.427636604443736,8.427636604443736,8.427636604443736,8.427636604443736
112,8.453625558687813,8.453625558687813,8.453625558687813,8.453625558687813
113,8.479184952090796,8.479184952090796,8.479184952090796,8.479184952090796
