,t,cbf,x0,x1,x2,x3,x4,x5,x6,xdot0,xdot1,xdot2,xdot3,xdot4,xdot5,xdot6,u_0,u_1,u_2,u_3,u_4,u_5,u_6
114,5.7,0.052365047465744496,0.0597031040161878,0.35237165399284187,0.0801619337466853,-0.3218200297738118,0.20415842672368503,0.31086130509538196,-0.21284913489923193,-0.03247441212380735,0.011162131343297348,-0.025811301480261954,0.0040640023084294805,-0.04404730694265137,-0.03590475133018404,0.021311870681153533,-0.2720222884249063,-4.77427692511676,-0.8233784167860262,-1.2985838958626417,0.8497272088613634,-0.03559306874465679,0.0423492322276329
115,5.75,0.04981105740805247,0.058061743494881725,0.35291256797775566,0.07892174977379325,-0.321614187232092,0.20201217773178373,0.30908973615437124,-0.21181105767037986,-0.03316613482945604,0.010483695571230066,-0.023809166334773573,0.004163953423935984,-0.041815067238522796,-0.034955753308469756,0.020222067892172933,-0.24945171845034503,-4.763889715345905,-0.8300299273853914,-1.2947569422428855,0.8455298207256547,-0.03282542840678724,0.040526440254821786
116,5.800000000000001,0.047381626928053235,0.05638786175124885,0.35342090597289044,0.07777969637658923,-0.3214041363127865,0.19997573252972056,0.3073658674405519,-0.21082614633157754,-0.03377557184223949,0.00985836595693171,-0.02188614312146929,0.004232872045204889,-0.0396552706038946,-0.03399744308030355,0.019184666007147484,-0.2272603185034017,-4.7542881900610166,-0.8370078513452233,-1.2912301561323458,0.841298542534817,-0.03023573988612422,0.0387341952350419
117,5.8500000000000005,0.045070681179270385,0.05468552608779685,0.3538992172898293,0.07673181128506289,-0.3211913535894877,0.1980454489517289,0.30569006663919046,-0.2098918380656362,-0.034304611013890096,0.009281947805564168,-0.020042448377470337,0.004273736830131716,-0.03756866224804821,-0.03303368362261294,0.018197409500737824,-0.20547527961478,-4.745419377424356,-0.8442582951361106,-1.2879813583335247,0.837049133786379,-0.027813896231904167,0.036975365995533714
118,5.9,0.042872441588080096,0.05295870812627867,0.354349848166997,0.07577412871922497,-0.32097717000242626,0.19621765601254654,0.30406251602255563,-0.20900568010957232,-0.0347551916743786,0.008750511408526451,-0.018278010556080845,0.004289393064210593,-0.035555654917794,-0.032068029811312584,0.01725814930738113,-0.184122305163252,-4.7372330652839985,-0.8517310999789269,-1.2849896509115228,0.8327959155400897,-0.025550140225003005,0.03525246869085999
119,5.95,0.04078141140473583,0.0512112812456793,0.3547749547929528,0.07490269311500121,-0.3207627777228055,0.1944886697578025,0.3024832276506446,-0.2081653246623765,-0.035129304061086775,0.008260382901534833,-0.016592496869047783,0.004282545249543725,-0.0336163594409163,-0.031103736816363095,0.016364833718299984,-0.16322557747332161,-4.729681730221953,-0.8593796548335285,-1.2822353836879545,0.8285518858616447,-0.023435082675165544,0.03356768940739527
120,6.0,0.03879236195896958,0.049447018062755116,0.3551765158589756,0.0741135715519396,-0.32054923732969814,0.19285480763825008,0.30095205812297016,-0.2073685242257619,-0.035428988194332975,0.007808134601301307,-0.014985338383363975,0.004255751963736094,-0.031750613257930056,-0.030143769633219297,0.015515500178919476,-0.14280773161002547,-4.722720460703797,-0.8671607165337394,-1.279700117737252,0.8243288255267341,-0.021459716875936053,0.031922906011780466
121,6.050000000000001,0.03690031958583519,0.04766958798173864,0.35555634461813324,0.07340286496805903,-0.3203374851927136,0.19131240150496337,0.2994687228286158,-0.20661312733336945,-0.03565633224253519,0.007390574949300726,-0.013455753451066038,0.004211422723669591,-0.029958007077480215,-0.02919081358960403,0.014708267960835023,-0.1228898360572644,-4.716306875381406,-0.8750342371183542,-1.2773665862949635,0.8201373946981004,-0.019615429288477357,0.03031970920149446
122,6.1000000000000005,0.035100553189120726,0.04588255483759506,0.35591610043416594,0.07276671824318148,-0.3201283409665158,0.1898578093162124,0.2980328096498726,-0.20589707462559403,-0.03581347042258865,0.00700473817960755,-0.012002769552736853,0.00415181660442109,-0.028237909776536448,-0.02824728566523914,0.01394133166786098,-0.10349137994566573,-4.7104010375403185,-0.8829631983220257,-1.275218653487172,0.81598722127925,-0.017894006605506475,0.028759422729028976
123,6.15,0.03338856241125171,0.044089374654904506,0.3562572998090732,0.07220132922802934,-0.31992251511534764,0.1884874256409933,0.29664379208282493,-0.20521839522950486,-0.035902580482192144,0.006647873816260688,-0.010625243636157706,0.004079042380158142,-0.02658949165422064,-0.027315346465217032,0.013212955525347281,-0.08463026648288031,-4.704965366615065,-0.8909134531246423,-1.2732412712817267,0.8118869816270126,-0.01628763940538588,0.027243122781945656
124,6.2,0.03176006638011575,0.04229339354209831,0.35658132688328303,0.07170295679230479,-0.31972061639694366,0.1871976910390206,0.29530104174607313,-0.20457520340606516,-0.03592588081108188,0.006317436094297974,-0.009321881031098616,0.003995059971154572,-0.025011746137480254,-0.026396912694015687,0.012521468395133156,-0.06632281223199277,-4.699964547622472,-0.8988535742090417,-1.27142043504774,0.8078444742752643,-0.014788922647172676,0.025771656510003488
125,6.25,0.030210993004681514,0.04049784573843993,0.3568894434067127,0.07126792796094866,-0.3195231592455651,0.1859851003923154,0.2940038402562187,-0.203965695429856,-0.03588562722760317,0.006011073387660536,-0.008091253019869642,0.003901682998659741,-0.023503510027705687,-0.025493669985858794,0.011865259454538936,-0.048583751881260254,-4.6953654392868165,-0.9067547091417697,-1.2697431380912134,0.8038666872862898,-0.013390853283825735,0.02434565969775496
126,6.300000000000001,0.02873746879265357,0.03870585182884555,0.3571827981829276,0.07089264420384407,-0.31933057100336404,0.1848462102592683,0.292751390455698,-0.20338814666964486,-0.03578410948592414,0.005726617716721382,-0.006931813141205457,0.003800582266874886,-0.02206348236961708,-0.02460708595746321,0.011242774476137684,-0.03142624814966686,-4.691136981553966,-0.9145904420669229,-1.2681973255126617,0.7999598598069056,-0.012086825285300628,0.022965573587025685
127,6.3500000000000005,0.02733580916470856,0.03692041713941212,0.35746243599199273,0.07057358694041288,-0.3191431989578892,0.18377764531816143,0.29154282698496753,-0.20284090884131364,-0.035623647547607176,0.005462074398339795,-0.005841912302505381,0.0036932900084225753,-0.02069024201714672,-0.023738423360584245,0.01065251264516098,-0.014861906476965728,-4.687250103115948,-0.9223366616869377,-1.2667718477087802,0.7961295383652369,-0.010870622368571139,0.021631660858331143
128,6.4,0.026002509241098017,0.03514443032438222,0.35772930600052383,0.07030732231687316,-0.3189613171513098,0.18277610396354213,0.29037722619687417,-0.20232240740778876,-0.035406587659318416,0.005215611892140044,-0.004819812772562479,0.003581204746235757,-0.019382263965450494,-0.022888753223697423,0.010093023852897483,0.0010992058466578938,-4.6836776294937135,-0.9299714352946047,-1.2654564138147335,0.7923806284024877,-0.009736408729639354,0.020344020784221227
129,6.45,0.024734235077584717,0.033380662153239364,0.3579842696699135,0.07009050531039586,-0.3187851329338882,0.18183836311550766,0.2892536154162742,-0.20183113910364459,-0.03513529827627114,0.004985551888199987,-0.0038637011237995953,0.0034655966405466553,-0.018137934513460446,-0.022058967884231406,0.009562906406977836,0.016448536448063773,-4.680394192155718,-0.9374748886159261,-1.2642415453578764,0.7887174414931378,-0.008678718064861906,0.01910260357061462
130,6.5,0.02352781532879828,0.03163176450470629,0.35822810817576956,0.0699198832110285,-0.3186147932404222,0.1809612822988421,0.288170981552594,-0.20136566956493032,-0.0348121658686459,0.004770359673530774,-0.0029717001897896314,0.0033476132045070013,-0.016955565317400046,-0.021249793824708135,0.009060805102715525,0.03117902086317594,-4.677376139083229,-0.9448290912226863,-1.2631185303677626,0.7851437386673508,-0.007692441157226471,0.01790722390467771
131,6.550000000000001,0.022380233318170423,0.029900269572617287,0.35846152935329073,0.06979229852904685,-0.31845039057384983,0.1801418070460145,0.2871282790770649,-0.20092463104747366,-0.034439590645777965,0.004568634807621002,-0.002141880100550343,0.0032282852858743554,-0.015833406392283308,-0.020461804237738985,0.008585409603421352,0.04528505207072063,-4.674601447131522,-0.9520179472756989,-1.2620793781614292,0.7816627702120434,-0.006772812288293025,0.016757573729667664
132,6.6000000000000005,0.021288619494619576,0.028188589286958672,0.35868517418465534,0.06970469137235316,-0.3182919686850106,0.17937697167527117,0.2861244373798376,-0.20050672021941948,-0.034019982230403284,0.004379102130915179,-0.0013722684548138258,0.003108533225036581,-0.014769658115547288,-0.019695431255854753,0.008135453081718114,0.0587624468740686,-4.672049636478378,-0.9590270913637557,-1.2611167749983816,0.7782773122914547,-0.005915394719606786,0.01565323426893584
133,6.65,0.02025024425712348,0.02649901495181937,0.35889962284554594,0.06965410133566052,-0.3181395279417426,0.17866390149241068,0.2851583675251202,-0.2001106960160592,-0.03355575531275463,0.004200603124351589,-0.0006608596852418748,0.0029891731114899825,-0.013762482284462781,-0.018950977792560348,0.0077097110780744,0.07160840942639665,-4.66970168739901,-0.9658437892090804,-1.2602240407753142,0.7749897006955875,-0.005116065469167945,0.014593687322243983
134,6.7,0.019262511129243105,0.02483371710056592,0.3591054003287087,0.06963766894048337,-0.3179930303841156,0.17799981446230606,0.2842289684249171,-0.19973537754708934,-0.03304932531183187,0.004032087632981726,-5.623669399898966e-06,0.0028709230716817405,-0.012810012276809028,-0.01822862895068051,0.007307000537043184,0.08382149218304025,-4.667539959558594,-0.9724568430166334,-1.2593950869078308,0.7718018619943949,-0.004370999589695465,0.013578325858686369
135,6.75,0.01832295026652548,0.023194745567250447,0.35930298166298263,0.06965263666239034,-0.317852404465704,0.1773820223938115,0.2833351324539182,-0.19937964204831202,-0.03250310406876293,0.0038726059621952227,0.0005954863637490229,0.002754409530914521,-0.011910362362376128,-0.0175284629629621,0.006926178985870701,0.09540155455350596,-4.665548113970688,-0.9788565012520629,-1.258624375524721,0.768715342348068,-0.003676654136124275,0.012606463931135164
136,6.800000000000001,0.017429212280555512,0.02158402977207297,0.3594927967465589,0.06969634957956136,-0.3177175494834449,0.17680793167935896,0.28247575052963125,-0.19904242287145515,-0.031919495594843826,0.003721301351131786,0.0011445265850035073,0.0026401734008560168,-0.011061636211125226,-0.016850461638037828,0.006566143824181263,0.10634971951424083,-4.663711037731444,-0.9850343726408668,-1.2579068800797646,0.7657313341985192,-0.003029751991091843,0.011677345937655313
137,6.8500000000000005,0.016579062364213016,0.02000337921764607,0.35967523481337177,0.0697662556744202,-0.31758833970084555,0.1762750436282978,0.28164971668300787,-0.19872270750725948,-0.03130089189461215,0.0035774028244457048,0.001643555929723183,0.002528676152105759,-0.010261934642249266,-0.01619452029219078,0.006225831697295715,0.11666832843199022,-4.662014771605487,-0.9909833441893419,-1.2572380474670393,0.7628507010442949,-0.0024272656984857376,0.010790155255683137
138,6.9,0.015770374703445146,0.018454484191846122,0.35985064855150684,0.06985990581798059,-0.31746462817115384,0.17578095443085745,0.28085593214562515,-0.19841953563826076,-0.030649668882178346,0.003440218420647328,0.002094630034933543,0.0024203057383365895,-0.009509362656883381,-0.015560457153945962,0.0059042179293730835,0.1263608943364625,-4.660446440509604,-0.9966975030361002,-1.2566137617078381,0.7600740004805977,-0.0018664014374734283,0.009944022275018696
139,6.95,0.015001127161579622,0.01693891667217489,0.36001935789235645,0.06997495346454163,-0.3173462502686178,0.1753233547875111,0.2800933089799824,-0.19813199721880118,-0.029968182407018738,0.003309128792743295,0.002499795709954416,0.0023153823447848456,-0.008802035795791623,-0.014948022234356843,0.005600315995931919,0.1354320538700917,-4.658994186914344,-1.0021720619510144,-1.256030309260914,0.7574015056674721,-0.0013445832523968145,0.009138031855680974
